"Player","Team","Position","Goals","Total Assists","Total Points","GP"
"Vinnie Hinostroza","FLA","C",0,0,0,4
"Connor Brown","OTT","R",2,4,6,15
"Ben Hutton","ANA","D",0,1,1,9
"Alexander Kerfoot","TOR","C",2,4,6,14
"Nikita Gusev","N.J","L",0,1,1,8
"Christian Djoos","DET","D",0,2,2,11
"Kurtis MacDermid","L.A","D",1,1,2,10
"Danny DeKeyser","DET","D",1,0,1,10
"Nate Schmidt","VAN","D",1,2,3,17
"Carter Rowney","ANA","C",0,6,6,15
"Chad Ruhwedel","PIT","D",0,1,1,11
"Michael Raffl","PHI","L",2,3,5,13
"Brian Pinho","WSH","C",0,0,0,2
"Anton Blidh","BOS","L",0,0,0,2
"Dominik Kubalik","CHI","L",3,9,12,15
"Andreas Johnsson","N.J","L",2,1,3,9
"MacKenzie Weegar","FLA","D",0,4,4,11
"Tyler Motte","VAN","C",5,1,6,15
"Tucker Poolman","WPG","D",0,0,0,2
"Connor Clifton","BOS","D",0,0,0,7
"Luke Johnson","MIN","C",0,0,0,2
"Carson Soucy","MIN","D",0,2,2,11
"Jonny Brodzinski","NYR","C",0,0,0,1
"Josh Brown","OTT","D",0,0,0,9
"Sean Malone","NSH","C",0,1,1,1
"John Hayden","ARI","C",0,0,0,5
"Pavel Buchnevich","NYR","R",3,5,8,13
"Jake Guentzel","PIT","L",4,5,9,12
"Mattias Janmark","CHI","C",5,4,9,15
"Anthony Duclair","FLA","L",0,6,6,10
"Carter Verhaeghe","FLA","C",7,3,10,11
"Oliver Bjorkstrand","CBJ","R",4,8,12,15
"Miles Wood","N.J","L",5,3,8,9
"Nick Paul","OTT","L",2,3,5,15
"Andrew Copp","WPG","C",4,8,12,13
"Ryan Graves","COL","D",0,1,1,10
"Andre Burakovsky","COL","L",3,5,8,8
"Michael McCarron","NSH","R",0,0,0,2
"Shea Theodore","VGK","D",3,7,10,10
"Jason Dickinson","DAL","C",2,2,4,11
"Ryan Hartman","MIN","R",1,2,3,11
"Adam Erne","DET","L",0,0,0,7
"Jacob de la Rose","STL","L",0,0,0,2
"J.T. Compher","COL","L",1,1,2,11
"Robert Hagg","PHI","D",1,0,1,10
"Nic Petan","TOR","C",0,1,1,3
"Justin Bailey","VAN","R",0,0,0,3
"Madison Bowey","CHI","D",0,1,1,2
"Artturi Lehkonen","MTL","L",2,2,4,14
"William Carrier","VGK","L",0,1,1,11
"Tyler Bertuzzi","DET","L",5,2,7,9
"Zach Sanford","STL","L",1,1,2,13
"Brett Pesce","CAR","D",1,6,7,11
"Nathan MacKinnon","COL","C",2,12,14,10
"Aleksander Barkov","FLA","C",4,8,12,11
"Jonathan Drouin","MTL","L",1,10,11,14
"Seth Jones","CBJ","D",1,6,7,15
"Elias Lindholm","CGY","C",4,10,14,13
"Sean Monahan","CGY","C",2,9,11,13
"Darnell Nurse","EDM","D",6,6,12,16
"Rasmus Ristolainen","BUF","D",2,4,6,10
"Bo Horvat","VAN","C",6,6,12,17
"Valeri Nichushkin","COL","R",2,1,3,11
"Samuel Morin","PHI","L",0,0,0,1
"Max Domi","CBJ","C",2,4,6,15
"Josh Morrissey","WPG","D",0,5,5,13
"Alex Wennberg","FLA","C",3,3,6,11
"Ryan Pulock","NYI","D",0,4,4,12
"Nikita Zadorov","CHI","D",0,3,3,15
"Curtis Lazar","BUF","C",3,1,4,10
"Anthony Mantha","DET","R",4,4,8,14
"Ross Johnston","NYI","L",0,0,0,6
"Philippe Maillet","WSH","C",0,0,0,1
"Joel Hanley","DAL","D",0,0,0,6
"Kevin Czuczman","PIT","D",0,0,0,2
"Conor Sheary","WSH","L",2,1,3,9
"Trevor van Riemsdyk","WSH","D",1,0,1,7
"Ryan Carpenter","CHI","C",1,0,1,9
"Jordan Oesterle","ARI","D",1,5,6,13
"Daniel Carr","WSH","L",0,1,1,3
"Garnet Hathaway","WSH","R",2,3,5,12
"Pierre-Edouard Bellemare","COL","C",0,0,0,8
"Tomas Nosek","VGK","L",1,0,1,10
"Aaron Ekblad","FLA","D",4,5,9,11
"Sam Reinhart","BUF","R",3,3,6,8
"Leon Draisaitl","EDM","C",8,18,26,16
"Sam Bennett","CGY","C",1,1,2,12
"Michael Dal Colle","NYI","L",0,2,2,5
"Jake Virtanen","VAN","R",1,0,1,12
"Haydn Fleury","CAR","D",0,0,0,11
"William Nylander","TOR","R",4,8,12,14
"Nikolaj Ehlers","WPG","L",9,7,16,13
"Nick Ritchie","BOS","L",5,5,10,13
"Kevin Fiala","MIN","L",3,0,3,8
"Jakub Vrana","WSH","L",3,5,8,11
"Dylan Larkin","DET","C",4,6,10,15
"Sonny Milano","ANA","L",0,0,0,2
"Travis Sanheim","PHI","D",1,4,5,12
"Alex Tuch","VGK","R",4,5,9,11
"Tony DeAngelo","NYR","D",0,1,1,6
"Nick Schmaltz","ARI","C",5,6,11,13
"Robby Fabbri","DET","C",3,0,3,7
"Kasperi Kapanen","PIT","R",2,4,6,9
"Jared McCann","PIT","C",2,3,5,11
"David Pastrnak","BOS","R",5,3,8,6
"Adrian Kempe","L.A","C",4,5,9,13
"Brendan Lemieux","NYR","L",1,3,4,12
"Ivan Barbashev","STL","C",1,3,4,14
"Marcus Pettersson","PIT","D",1,0,1,4
"Nicolas Aube-Kubel","PHI","R",1,3,4,13
"Brandon Montour","BUF","D",0,2,2,10
"Ryan Donato","S.J","C",3,4,7,12
"Christian Dvorak","ARI","C",7,6,13,13
"Juho Lammikko","FLA","C",0,0,0,6
"Warren Foegele","CAR","L",3,2,5,8
"Brayden Point","T.B","C",6,10,16,12
"Jake Walman","STL","D",0,0,0,1
"Mark Friedman","PHI","D",0,0,0,3
"Michael Amadio","L.A","C",0,2,2,11
"William Lagesson","EDM","D",0,2,2,7
"Lucas Wallmark","CHI","C",0,3,3,5
"Devon Toews","COL","D",3,2,5,8
"Viktor Arvidsson","NSH","R",2,5,7,14
"Sam Lafferty","PIT","C",0,0,0,6
"Danton Heinen","ANA","L",3,1,4,14
"Gustav Forsling","FLA","D",0,0,0,3
"Oskar Lindblom","PHI","L",2,2,4,13
"Anders Bjork","BOS","L",1,2,3,13
"Kevin Labanc","S.J","R",1,4,5,12
"Sammy Blais","STL","L",1,2,3,7
"Victor Olofsson","BUF","L",4,6,10,10
"Pierre Engvall","TOR","L",0,1,1,5
"Ondrej Kase","BOS","R",0,0,0,2
"Jake Evans","MTL","C",2,0,2,14
"Jacob Middleton","S.J","D",0,0,0,1
"Matthew Highmore","CHI","C",0,1,1,9
"Dryden Hunt","ARI","L",0,0,0,2
"Andrew Mangiapane","CGY","L",4,3,7,13
"Frank Vatrano","FLA","C",2,1,3,11
"Noah Hanifin","CGY","D",0,3,3,13
"Rasmus Andersson","CGY","D",2,4,6,13
"Kyle Connor","WPG","L",7,6,13,13
"Jonas Siegenthaler","WSH","D",0,0,0,6
"Colin White","OTT","C",2,2,4,11
"Pavel Zacha","N.J","C",2,2,4,9
"Connor McDavid","EDM","C",9,19,28,16
"Jack Eichel","BUF","C",2,9,11,10
"Vince Dunn","STL","D",3,2,5,13
"Travis Dermott","TOR","D",1,0,1,10
"Jordan Greenway","MIN","L",2,8,10,11
"Timo Meier","S.J","R",2,4,6,12
"Jakub Zboril","BOS","D",0,2,2,13
"Erik Cernak","T.B","D",0,2,2,10
"Mikko Rantanen","COL","R",7,3,10,11
"Jansen Harkins","WPG","C",0,0,0,9
"Sebastian Aho","CAR","C",3,8,11,11
"Christian Fischer","ARI","R",0,0,0,9
"Keegan Kolesar","VGK","R",0,2,2,8
"Travis Konecny","PHI","R",5,3,8,12
"Dylan Strome","CHI","C",4,4,8,15
"Brandon Carlo","BOS","D",2,1,3,13
"Brock Boeser","VAN","R",10,6,16,17
"Mathew Barzal","NYI","C",5,8,13,12
"Nicholas Merkley","N.J","R",0,1,1,3
"Roope Hintz","DAL","L",4,5,9,9
"Ethan Bear","EDM","D",0,2,2,9
"Caleb Jones","EDM","D",0,1,1,7
"Noah Juulsen","FLA","D",0,0,0,2
"Austin Wagner","L.A","L",2,2,4,9
"Jack Roslovic","CBJ","C",4,5,9,8
"Zach Werenski","CBJ","D",1,3,4,12
"Nicolas Roy","VGK","C",1,1,2,11
"Anthony Beauvillier","NYI","L",0,1,1,5
"Daniel Sprong","WSH","R",2,1,3,10
"Nicolas Meloche","S.J","D",0,0,0,1
"Jeremy Lauzon","BOS","D",0,3,3,13
"Thomas Chabot","OTT","D",3,4,7,14
"Mathieu Joseph","T.B","R",4,1,5,12
"Lawson Crouse","ARI","L",0,1,1,10
"Kyle Capobianco","ARI","D",0,0,0,2
"Mitchell Stephens","T.B","C",0,1,1,4
"Mitchell Marner","TOR","R",6,15,21,14
"Filip Chlapik","OTT","C",0,0,0,1
"Jacob Larsson","ANA","D",0,2,2,15
"Joel Eriksson Ek","MIN","C",5,4,9,11
"Denis Gurianov","DAL","R",4,7,11,11
"Jake DeBrusk","BOS","L",0,2,2,8
"Ivan Provorov","PHI","D",2,5,7,13
"Dennis Gilbert","COL","D",0,0,0,1
"John Marino","PIT","D",0,1,1,12
"Yakov Trenin","NSH","C",1,0,1,11
"Austin Czarnik","NYI","C",0,0,0,1
"Anthony Cirelli","T.B","C",4,6,10,12
"Tanner Kero","DAL","C",0,2,2,8
"Evan Rodrigues","PIT","C",1,0,1,6
"Artemi Panarin","NYR","L",5,10,15,12
"Dean Kukan","CBJ","D",1,3,4,14
"Noel Acciari","FLA","C",0,0,0,11
"Derek Ryan","CGY","C",0,1,1,10
"Kevin Stenlund","CBJ","C",2,3,5,4
"Christian Wolanin","OTT","D",0,1,1,6
"Conor Garland","ARI","R",5,8,13,13
"Dmytro Timashov","NYI","L",0,0,0,1
"Niko Mikkola","STL","D",0,0,0,9
"Kirill Kaprizov","MIN","L",3,6,9,11
"Dominik Simon","CGY","C",0,0,0,6
"Rudolfs Balcers","S.J","L",0,0,0,2
"Troy Terry","ANA","R",2,2,4,13
"Adam Gaudette","VAN","C",2,0,2,13
"Vladislav Gavrikov","CBJ","D",1,3,4,15
"Mason Appleton","WPG","C",3,5,8,13
"Steven Lorentz","CAR","C",0,1,1,4
"Markus Nutivaara","FLA","D",0,3,3,6
"Matt Roy","L.A","D",0,3,3,8
"Sami Niku","WPG","D",0,0,0,3
"Jalen Chatfield","VAN","D",0,0,0,9
"Mason Marchment","FLA","L",0,0,0,1
"Adam Brooks","TOR","C",1,0,1,1
"Philippe Myers","PHI","D",0,3,3,8
"Ryan Lomberg","FLA","L",0,0,0,3
"Kevin Rooney","NYR","C",3,1,4,11
"Brandon Tanev","PIT","L",3,2,5,12
"Matthew Tkachuk","CGY","L",5,5,10,13
"Joey Anderson","TOR","R",0,0,0,1
"Luke Kunin","NSH","C",2,1,3,10
"Auston Matthews","TOR","C",11,5,16,13
"Adam Fox","NYR","D",1,6,7,13
"Ryan Lindgren","NYR","D",0,3,3,13
"Charlie McAvoy","BOS","D",1,10,11,13
"Julien Gauthier","NYR","R",1,0,1,8
"Libor Hajek","NYR","D",0,0,0,4
"Rasmus Asplund","BUF","C",0,0,0,1
"Carl Grundstrom","L.A","R",3,1,4,11
"Alex DeBrincat","CHI","L",7,8,15,11
"Patrik Laine","CBJ, WPG","R",5,2,7,6
"Clayton Keller","ARI","R",4,4,8,13
"Jesse Puljujarvi","EDM","R",3,2,5,15
"Jakob Chychrun","ARI","D",3,7,10,13
"Dillon Dube","CGY","C",2,3,5,10
"Kale Clague","L.A","D",0,3,3,11
"Sam Steel","ANA","C",0,3,3,14
"Brett Howden","NYR","C",0,1,1,13
"Olli Juolevi","VAN","D",1,0,1,9
